COURSE_ID,TITLE
excourse69,machine learning with big data
excourse70,big data   capstone project
excourse71,big data essentials  hdfs  mapreduce and spark rdd
excourse72,foundations for big data analysis with sql
excourse73,analyzing big data with sql
excourse74,fundamentals of big data
excourse75,hadoop platform and application framework
excourse76,working with big data
excourse77,natural language processing with attention models
excourse78,natural language processing with sequence models
excourse79,natural language processing with probabilistic models
excourse80,r programming
excourse81,data analysis with r programming
excourse82,getting started with data visualization in r
excourse83,introduction to probability and data with r
excourse84,using r for regression and machine learning in investment 
excourse85,data visualization in r with ggplot2
excourse86,the r programming environment
excourse87,html  css  and javascript for web developers
excourse88,javascript basics
excourse89,javascript  jquery  and json
excourse90,programming foundations with javascript  html and css
excourse91,front end web development with react
excourse92,introduction to web development
excourse93,interactivity with javascript and jquery
